nct_id,versions
NCT00411632,25
NCT00982072,10
NCT01307501,24
NCT01792115,103
NCT02019667,51
NCT02034110,82
NCT02099864,22
NCT02134028,73
NCT02264574,13
NCT02274493,15
NCT02286726,44
NCT02297139,35
NCT02312622,15
NCT02334722,27
NCT02357979,15
NCT02419508,17
NCT02437318,69
NCT02446912,16
NCT02468648,30
NCT02471144,30
NCT02513485,14
NCT02534909,29
NCT02535572,7
NCT02544113,7
NCT02592551,16
NCT02630693,23
NCT02662062,12
NCT02666742,9
NCT02668016,6
NCT02685748,6
NCT02692391,8
NCT02748018,47
NCT02771522,5
NCT02777580,13
NCT02788773,32
NCT02796391,34
NCT02805972,13
NCT02824627,12
NCT02842749,18
NCT02866175,15
NCT02874066,11
NCT02875132,11
NCT02886624,5
NCT02892344,11
NCT02896127,17
NCT02899962,37
NCT02920021,8
NCT02935634,47
NCT02939937,2
NCT02941627,4
NCT02952222,14
NCT02963649,30
NCT02970877,9
NCT02975804,5
NCT02989844,22
NCT02991482,14
NCT02991859,17
NCT03006471,13
NCT03008889,15
NCT03015220,37
NCT03020992,23
NCT03025880,9
NCT03027388,174
NCT03030989,7
NCT03051256,12
NCT03053362,5
NCT03064217,15
NCT03073148,8
NCT03077711,4
NCT03078582,8
NCT03080142,8
NCT03083041,4
NCT03084237,7
NCT03086460,8
NCT03089580,6
NCT03090256,9
NCT03093259,7
NCT03095274,16
NCT03095352,17
NCT03100344,11
NCT03103542,23
NCT03111381,8
NCT03122431,5
NCT03124121,9
NCT03127514,44
NCT03136965,11
NCT03149055,13
NCT03152019,8
NCT03178669,6
NCT03190694,5
NCT03193684,13
NCT03194555,18
NCT03205761,13
NCT03219320,12
NCT03219892,2
NCT03221660,9
NCT03222856,10
NCT03223909,4
NCT03226418,23
NCT03229252,13
NCT03235739,16
NCT03241459,19
NCT03261167,39
NCT03264157,10
NCT03278028,8
NCT03281538,10
NCT03282799,12
NCT03283241,5
NCT03289052,6
NCT03291197,4
NCT03295318,7
NCT03312738,17
NCT03315949,3
NCT03318393,10
NCT03321097,6
NCT03321396,5
NCT03334396,35
NCT03334903,7
NCT03340350,6
NCT03340961,7
NCT03348423,3
NCT03358251,10
NCT03358875,26
NCT03367793,12
NCT03368235,22
NCT03374358,8
NCT03378921,6
NCT03387852,34
NCT03388190,11
NCT03392532,5
NCT03402841,31
NCT03403374,18
NCT03403517,8
NCT03430245,5
NCT03430986,8
NCT03431584,15
NCT03436693,8
NCT03444584,7
NCT03446027,9
NCT03452488,13
NCT03455491,2
NCT03457909,4
NCT03463876,8
NCT03476317,12
NCT03486457,32
NCT03503162,7
NCT03505788,7
NCT03508830,7
NCT03510910,5
NCT03512301,12
NCT03523702,15
NCT03528551,90
NCT03528681,27
NCT03530631,8
NCT03532295,32
NCT03532776,7
NCT03538301,55
NCT03539302,19
NCT03539549,5
NCT03541174,39
NCT03542019,6
NCT03550209,10
NCT03554291,13
NCT03554629,11
NCT03557294,10
NCT03562195,27
NCT03583333,107
NCT03599713,31
NCT03611491,3
NCT03613740,13
NCT03614494,7
NCT03629080,22
NCT03632434,8
NCT03636893,12
NCT03645421,6
NCT03649061,5
NCT03651336,5
NCT03657342,28
NCT03669146,10
NCT03671330,42
NCT03672344,11
NCT03676192,5
NCT03689114,5
NCT03696108,31
NCT03706209,3
NCT03711188,6
NCT03723980,3
NCT03733314,30
NCT03747497,6
NCT03748953,27
NCT03752970,72
NCT03753113,6
