nct_id,version,from_posted_version,to_posted_version,has_results_before,has_results_after,is_posted_state_transition,historical_first_results_label_version,first_results_attempt,first_results_posted_transition,in_first_results_episode,results_episode_id,review_not_passed,unposted_events_json,unposted_event_types,index_change_date,last_update_submit_date,last_update_submit_qc_date,last_update_post_date,results_first_submit_date,results_first_submit_qc_date,results_first_post_date,history_version_date,mixed_event_date,module_labels,before_primary_outcome_count,after_primary_outcome_count,primary_outcome_count_changed,before_primary_measure_signature,after_primary_measure_signature,primary_measure_signature_changed,before_primary_description_signature,after_primary_description_signature,primary_description_signature_changed,before_primary_timeframe_signature,after_primary_timeframe_signature,primary_timeframe_signature_changed,before_primary_outcome_signature,after_primary_outcome_signature,primary_outcome_signature_changed,before_secondary_outcome_count,after_secondary_outcome_count,secondary_outcome_count_changed,before_secondary_outcome_signature,after_secondary_outcome_signature,secondary_outcome_signature_changed,before_enrollment,after_enrollment,enrollment_changed,before_enrollment_count,after_enrollment_count,enrollment_count_changed,before_enrollment_type,after_enrollment_type,enrollment_type_changed,before_enrollment_struct_signature,after_enrollment_struct_signature,enrollment_struct_signature_changed,before_overall_status,after_overall_status,overall_status_changed,before_pcd,after_pcd,pcd_changed,before_pcd_date,after_pcd_date,pcd_date_changed,before_pcd_type,after_pcd_type,pcd_type_changed,before_pcd_struct_signature,after_pcd_struct_signature,pcd_struct_signature_changed,pair_id,group
NCT04153409,1,0,1,False,False,True,False,False,False,False,,False,[],,2020-09-02,2020-09-02,2020-09-02,2020-09-03,,,,2020-09-02,2020-09-02,Study Status|Study Design|Contacts/Locations,1,1,False,4c4446d846690c4f65807efc2e6231cf037a020dd9eb2bd3c52d2ecf7ee4d381,4c4446d846690c4f65807efc2e6231cf037a020dd9eb2bd3c52d2ecf7ee4d381,False,c2ae1ca016b212171ec30b07551d97c8a5384ec08abc44e1ef9e64590a7ceae2,c2ae1ca016b212171ec30b07551d97c8a5384ec08abc44e1ef9e64590a7ceae2,False,bdfc38fca8cb49f07ba6ab42d9aa885aa7e8488e31df68a51319a59a2b58c96f,bdfc38fca8cb49f07ba6ab42d9aa885aa7e8488e31df68a51319a59a2b58c96f,False,2f958e0f91726e84497fcd618e660f8dabacade6065a8f670836d2ce1abc2f7c,2f958e0f91726e84497fcd618e660f8dabacade6065a8f670836d2ce1abc2f7c,False,3,3,False,213de1a35dd4111b56578a011d76e0a526a639e99deffd5c762b80f51b1d5133,213de1a35dd4111b56578a011d76e0a526a639e99deffd5c762b80f51b1d5133,False,26.0,26.0,False,26.0,26.0,False,ESTIMATED,ACTUAL,True,8501f27e81bc0089adf3e66eca46d5b9ab190eef02e12105859b70c036b94acd,7c8c9bf6bd17d0c3956c77795871aa3276aec437b22bddb9f256c8957d66e384,True,RECRUITING,COMPLETED,True,2020-01-31,2020-02-15,True,2020-01-31,2020-02-15,True,ESTIMATED,ACTUAL,True,884612f0c8ec380a68022e77921f83f9816237f86f2bd1b33d6a08b5a99a94c5,e1bc371cabf03212440f1987de1a92c831887fdd54d1dc9218237ae602d38c5f,True,1,fda_proxy
NCT04153409,2,1,2,False,True,True,True,True,True,True,NCT04153409:v2-v2,False,[],,2021-03-03,2021-03-03,2021-03-03,2021-03-30,2021-03-03,2021-03-03,2021-03-30,2021-03-03,2021-03-03,Study Status|Oversight|Study Design|Arms and Interventions|Outcome Measures|Eligibility|Contacts/Locations|Document Section|Participant Flow|Baseline Characteristics|Outcome Measures (Results)|Adverse Events|More Information,1,1,False,4c4446d846690c4f65807efc2e6231cf037a020dd9eb2bd3c52d2ecf7ee4d381,b607f95f1668f6d20562dedebedf26d4ac37f9fe80134bfa7f9ad84d3957be18,True,c2ae1ca016b212171ec30b07551d97c8a5384ec08abc44e1ef9e64590a7ceae2,e0da745e529093cb023b5e5eb0c7624ded9c1ad1aaa6c06b0afaf6d49ead6ca1,True,bdfc38fca8cb49f07ba6ab42d9aa885aa7e8488e31df68a51319a59a2b58c96f,bdfc38fca8cb49f07ba6ab42d9aa885aa7e8488e31df68a51319a59a2b58c96f,False,2f958e0f91726e84497fcd618e660f8dabacade6065a8f670836d2ce1abc2f7c,d48902c07986de5ec2f3401851c47833ca0d1f41a5a7e5cd8d0577636c007fe8,True,3,3,False,213de1a35dd4111b56578a011d76e0a526a639e99deffd5c762b80f51b1d5133,8805957676ffd8ad262b7edc68553550aea4cb6b414591658b3012757ad59b09,True,26.0,21.0,True,26.0,21.0,True,ACTUAL,ACTUAL,False,7c8c9bf6bd17d0c3956c77795871aa3276aec437b22bddb9f256c8957d66e384,499f0def923c767264f6dfc55653458a4dd2ec108ee196e3b1f465540e49044c,True,COMPLETED,COMPLETED,False,2020-02-15,2020-02-15,False,2020-02-15,2020-02-15,False,ACTUAL,ACTUAL,False,e1bc371cabf03212440f1987de1a92c831887fdd54d1dc9218237ae602d38c5f,e1bc371cabf03212440f1987de1a92c831887fdd54d1dc9218237ae602d38c5f,False,1,fda_proxy
NCT04153409,3,2,3,True,True,True,False,False,False,False,,False,[],,2021-04-06,2021-04-06,2021-04-06,2021-04-28,2021-03-03,2021-03-03,2021-03-30,2021-04-06,2021-04-06,Study Status|Outcome Measures (Results),1,1,False,b607f95f1668f6d20562dedebedf26d4ac37f9fe80134bfa7f9ad84d3957be18,b607f95f1668f6d20562dedebedf26d4ac37f9fe80134bfa7f9ad84d3957be18,False,e0da745e529093cb023b5e5eb0c7624ded9c1ad1aaa6c06b0afaf6d49ead6ca1,e0da745e529093cb023b5e5eb0c7624ded9c1ad1aaa6c06b0afaf6d49ead6ca1,False,bdfc38fca8cb49f07ba6ab42d9aa885aa7e8488e31df68a51319a59a2b58c96f,bdfc38fca8cb49f07ba6ab42d9aa885aa7e8488e31df68a51319a59a2b58c96f,False,d48902c07986de5ec2f3401851c47833ca0d1f41a5a7e5cd8d0577636c007fe8,d48902c07986de5ec2f3401851c47833ca0d1f41a5a7e5cd8d0577636c007fe8,False,3,3,False,8805957676ffd8ad262b7edc68553550aea4cb6b414591658b3012757ad59b09,8805957676ffd8ad262b7edc68553550aea4cb6b414591658b3012757ad59b09,False,21.0,21.0,False,21.0,21.0,False,ACTUAL,ACTUAL,False,499f0def923c767264f6dfc55653458a4dd2ec108ee196e3b1f465540e49044c,499f0def923c767264f6dfc55653458a4dd2ec108ee196e3b1f465540e49044c,False,COMPLETED,COMPLETED,False,2020-02-15,2020-02-15,False,2020-02-15,2020-02-15,False,ACTUAL,ACTUAL,False,e1bc371cabf03212440f1987de1a92c831887fdd54d1dc9218237ae602d38c5f,e1bc371cabf03212440f1987de1a92c831887fdd54d1dc9218237ae602d38c5f,False,1,fda_proxy
NCT03845075,1,0,1,False,False,True,False,False,False,False,,False,[],,2019-05-22,2019-05-22,2019-05-22,2019-05-23,,,,2019-05-22,2019-05-22,Study Status|Contacts/Locations,3,3,False,d0d363ae5da1bf455b2b0d2867265a0d3abbef1a3ff5dfcbd86d93f027f1443d,d0d363ae5da1bf455b2b0d2867265a0d3abbef1a3ff5dfcbd86d93f027f1443d,False,8f447bb86b7f17e654d568668127830260bb1c999145f899a24b5de9e58c8c80,8f447bb86b7f17e654d568668127830260bb1c999145f899a24b5de9e58c8c80,False,273665fa2ca7fb43d8e4195ed2479388748046f073740af44827d814302ce471,273665fa2ca7fb43d8e4195ed2479388748046f073740af44827d814302ce471,False,4220a327cafc5421294ef07c92a7ffcb51757139bd16b575701d7537858c7757,4220a327cafc5421294ef07c92a7ffcb51757139bd16b575701d7537858c7757,False,1,1,False,f31b9e725e0929154263a1452ebe5934a182be74495b72bd515c3fd97395dea1,f31b9e725e0929154263a1452ebe5934a182be74495b72bd515c3fd97395dea1,False,25.0,25.0,False,25.0,25.0,False,ESTIMATED,ESTIMATED,False,7b0a356a57872a0d62c2fe7118ef1461d372974fc12c1994290ebecee5f629db,7b0a356a57872a0d62c2fe7118ef1461d372974fc12c1994290ebecee5f629db,False,NOT_YET_RECRUITING,RECRUITING,True,2020-09-01,2020-09-01,False,2020-09-01,2020-09-01,False,ESTIMATED,ESTIMATED,False,a56ddad34872a063c8f5f8593e0f747f0bc3788cd46f48027838b1ffffcd14c7,a56ddad34872a063c8f5f8593e0f747f0bc3788cd46f48027838b1ffffcd14c7,False,1,nonfda_control
NCT03845075,2,1,2,False,False,True,False,False,False,False,,False,[],,2020-04-29,2020-04-29,2020-04-29,2020-05-04,,,,2020-04-29,2020-04-29,Study Status|Study Design|Outcome Measures|Contacts/Locations|Document Section,3,9,True,d0d363ae5da1bf455b2b0d2867265a0d3abbef1a3ff5dfcbd86d93f027f1443d,d0e2953bfc2f404eeb32ada21cdc89002bb4bfd0009f34f1b6d9698cb20fd96b,True,8f447bb86b7f17e654d568668127830260bb1c999145f899a24b5de9e58c8c80,840af54ceff1483a8fdd695ef5f4530d4e94472752d2304ef4a313615ab777cc,True,273665fa2ca7fb43d8e4195ed2479388748046f073740af44827d814302ce471,4fe3dc5c4bb728ecda2472043ffc54346a82183215258e055efe45cfca1bfdfa,True,4220a327cafc5421294ef07c92a7ffcb51757139bd16b575701d7537858c7757,8e90012c625df6b0afd7e8e91df75dd1812d48139cec426302b38a6ba2e296c7,True,1,6,True,f31b9e725e0929154263a1452ebe5934a182be74495b72bd515c3fd97395dea1,d76fc72aaf90b12b0548b44978f5866718f635451fb07ed9d571a69b631f9aaa,True,25.0,21.0,True,25.0,21.0,True,ESTIMATED,ACTUAL,True,7b0a356a57872a0d62c2fe7118ef1461d372974fc12c1994290ebecee5f629db,499f0def923c767264f6dfc55653458a4dd2ec108ee196e3b1f465540e49044c,True,RECRUITING,ACTIVE_NOT_RECRUITING,True,2020-09-01,2020-10-16,True,2020-09-01,2020-10-16,True,ESTIMATED,ESTIMATED,False,a56ddad34872a063c8f5f8593e0f747f0bc3788cd46f48027838b1ffffcd14c7,3ff60aade20e00641f357af26237f1edd88d498230071a5082575d0589a79f08,True,1,nonfda_control
NCT03845075,3,2,3,False,False,True,False,False,False,False,,False,"[{""date"": ""2022-06-20"", ""type"": ""RELEASE""}, {""date"": ""2023-03-30"", ""type"": ""RESET""}, {""date"": ""2023-04-21"", ""type"": ""RELEASE""}, {""date"": ""2024-01-23"", ""type"": ""RESET""}]",RELEASE|RESET|RELEASE|RESET,2021-01-07,2021-01-07,2021-01-07,2021-01-08,,,,2021-01-07,2021-01-07,Study Status,9,9,False,d0e2953bfc2f404eeb32ada21cdc89002bb4bfd0009f34f1b6d9698cb20fd96b,d0e2953bfc2f404eeb32ada21cdc89002bb4bfd0009f34f1b6d9698cb20fd96b,False,840af54ceff1483a8fdd695ef5f4530d4e94472752d2304ef4a313615ab777cc,840af54ceff1483a8fdd695ef5f4530d4e94472752d2304ef4a313615ab777cc,False,4fe3dc5c4bb728ecda2472043ffc54346a82183215258e055efe45cfca1bfdfa,4fe3dc5c4bb728ecda2472043ffc54346a82183215258e055efe45cfca1bfdfa,False,8e90012c625df6b0afd7e8e91df75dd1812d48139cec426302b38a6ba2e296c7,8e90012c625df6b0afd7e8e91df75dd1812d48139cec426302b38a6ba2e296c7,False,6,6,False,d76fc72aaf90b12b0548b44978f5866718f635451fb07ed9d571a69b631f9aaa,d76fc72aaf90b12b0548b44978f5866718f635451fb07ed9d571a69b631f9aaa,False,21.0,21.0,False,21.0,21.0,False,ACTUAL,ACTUAL,False,499f0def923c767264f6dfc55653458a4dd2ec108ee196e3b1f465540e49044c,499f0def923c767264f6dfc55653458a4dd2ec108ee196e3b1f465540e49044c,False,ACTIVE_NOT_RECRUITING,COMPLETED,True,2020-10-16,2020-10-16,False,2020-10-16,2020-10-16,False,ESTIMATED,ACTUAL,True,3ff60aade20e00641f357af26237f1edd88d498230071a5082575d0589a79f08,84d4d43c8da2d4ce09727adc731f50e8158070b03f9aa7ffddea775ea38ea746,True,1,nonfda_control
NCT03845075,4,3,4,False,True,True,True,True,True,True,NCT03845075:v4-v4,False,[],,2024-02-09,2024-02-09,2024-02-09,2024-02-13,2022-06-20,2024-02-09,2024-02-13,2024-02-09,2022-06-20,Study Status|Study Description|Arms and Interventions|Outcome Measures|Eligibility|Participant Flow|Baseline Characteristics|Outcome Measures (Results)|Adverse Events|More Information,9,9,False,d0e2953bfc2f404eeb32ada21cdc89002bb4bfd0009f34f1b6d9698cb20fd96b,16f5caf2b3826c7bbe50c886a1b3b15975bc0c2835341269facf89a45bfea1d3,True,840af54ceff1483a8fdd695ef5f4530d4e94472752d2304ef4a313615ab777cc,c09d5b83379f9ee012192aae877b857aa8839b52350f02211576c600cc183c0f,True,4fe3dc5c4bb728ecda2472043ffc54346a82183215258e055efe45cfca1bfdfa,4fe3dc5c4bb728ecda2472043ffc54346a82183215258e055efe45cfca1bfdfa,False,8e90012c625df6b0afd7e8e91df75dd1812d48139cec426302b38a6ba2e296c7,914d5edc95172f6513aca5436e215bfcfbe7cc4e8b96dabfc4382ff57890a770,True,6,17,True,d76fc72aaf90b12b0548b44978f5866718f635451fb07ed9d571a69b631f9aaa,65dfa50e3d5006acd5c30475b9f6e2d9e97674eb5ce5f11b2ac1c0d383da284c,True,21.0,21.0,False,21.0,21.0,False,ACTUAL,ACTUAL,False,499f0def923c767264f6dfc55653458a4dd2ec108ee196e3b1f465540e49044c,499f0def923c767264f6dfc55653458a4dd2ec108ee196e3b1f465540e49044c,False,COMPLETED,COMPLETED,False,2020-10-16,2020-10-16,False,2020-10-16,2020-10-16,False,ACTUAL,ACTUAL,False,84d4d43c8da2d4ce09727adc731f50e8158070b03f9aa7ffddea775ea38ea746,84d4d43c8da2d4ce09727adc731f50e8158070b03f9aa7ffddea775ea38ea746,False,1,nonfda_control
NCT04714216,1,0,1,False,False,True,False,False,False,False,,False,[],,2021-01-15,2021-01-15,2021-01-15,2021-01-20,,,,2021-01-15,2021-01-15,Study Status|Outcome Measures|Contacts/Locations,2,2,False,b415160cdcd9e98463f76d4b2727acef354b608ee952b4457ecb63458df0bc5a,b415160cdcd9e98463f76d4b2727acef354b608ee952b4457ecb63458df0bc5a,False,8fc375e90497f640a61d0d768a6d6abdcd217588e048a188f8c135dcf502220c,8fc375e90497f640a61d0d768a6d6abdcd217588e048a188f8c135dcf502220c,False,883649ed2a1be8831e2d070935c343ebe2611d4dfd228bf44f8b8e255f6db941,883649ed2a1be8831e2d070935c343ebe2611d4dfd228bf44f8b8e255f6db941,False,f946068617ecec78c48decb0df284bff733f1e00b92cedf1431b2b5100b032dc,f946068617ecec78c48decb0df284bff733f1e00b92cedf1431b2b5100b032dc,False,24,24,False,9a8dcb133e4da154adb48c5c7b7609fa568e7b13b5654b24341e2182bf1cddc3,4d124f86dab056e98299eca5bf64dbe909a4c4bae6c8c328eabda5b5f8e77ab0,True,18.0,18.0,False,18.0,18.0,False,ESTIMATED,ESTIMATED,False,fcd6eec015ae5c4fd198ded827d60a95ad854fc842cdf5e9e573528bc2db3f4f,fcd6eec015ae5c4fd198ded827d60a95ad854fc842cdf5e9e573528bc2db3f4f,False,NOT_YET_RECRUITING,NOT_YET_RECRUITING,False,2021-06,2021-06,False,2021-06,2021-06,False,ESTIMATED,ESTIMATED,False,e761588d31e1343ca25c0f59fdf7f3b7ffcf214b2f85d0959bcffe2dc7e5f6fe,e761588d31e1343ca25c0f59fdf7f3b7ffcf214b2f85d0959bcffe2dc7e5f6fe,False,2,fda_proxy
NCT04714216,2,1,2,False,False,True,False,False,False,False,,False,[],,2021-06-30,2021-06-30,2021-06-30,2021-07-02,,,,2021-06-30,2021-06-30,Study Status|Contacts/Locations,2,2,False,b415160cdcd9e98463f76d4b2727acef354b608ee952b4457ecb63458df0bc5a,b415160cdcd9e98463f76d4b2727acef354b608ee952b4457ecb63458df0bc5a,False,8fc375e90497f640a61d0d768a6d6abdcd217588e048a188f8c135dcf502220c,8fc375e90497f640a61d0d768a6d6abdcd217588e048a188f8c135dcf502220c,False,883649ed2a1be8831e2d070935c343ebe2611d4dfd228bf44f8b8e255f6db941,883649ed2a1be8831e2d070935c343ebe2611d4dfd228bf44f8b8e255f6db941,False,f946068617ecec78c48decb0df284bff733f1e00b92cedf1431b2b5100b032dc,f946068617ecec78c48decb0df284bff733f1e00b92cedf1431b2b5100b032dc,False,24,24,False,4d124f86dab056e98299eca5bf64dbe909a4c4bae6c8c328eabda5b5f8e77ab0,4d124f86dab056e98299eca5bf64dbe909a4c4bae6c8c328eabda5b5f8e77ab0,False,18.0,18.0,False,18.0,18.0,False,ESTIMATED,ESTIMATED,False,fcd6eec015ae5c4fd198ded827d60a95ad854fc842cdf5e9e573528bc2db3f4f,fcd6eec015ae5c4fd198ded827d60a95ad854fc842cdf5e9e573528bc2db3f4f,False,NOT_YET_RECRUITING,RECRUITING,True,2021-06,2021-11,True,2021-06,2021-11,True,ESTIMATED,ESTIMATED,False,e761588d31e1343ca25c0f59fdf7f3b7ffcf214b2f85d0959bcffe2dc7e5f6fe,578f8d321e0bd82a8d5aa47177a92cbad9b4388bd21b88d6260efacb6eb5e938,True,2,fda_proxy
NCT04714216,3,2,3,False,False,True,False,False,False,False,,False,[],,2022-03-17,2022-03-17,2022-03-17,2022-03-31,,,,2022-03-17,2022-03-17,Study Status|Sponsor/Collaborators|Outcome Measures,2,2,False,b415160cdcd9e98463f76d4b2727acef354b608ee952b4457ecb63458df0bc5a,b415160cdcd9e98463f76d4b2727acef354b608ee952b4457ecb63458df0bc5a,False,8fc375e90497f640a61d0d768a6d6abdcd217588e048a188f8c135dcf502220c,8fc375e90497f640a61d0d768a6d6abdcd217588e048a188f8c135dcf502220c,False,883649ed2a1be8831e2d070935c343ebe2611d4dfd228bf44f8b8e255f6db941,6dbfbbf267499a889f2d066f17c5badecc9b81119ae500ed61c2aae94f8801de,True,f946068617ecec78c48decb0df284bff733f1e00b92cedf1431b2b5100b032dc,504dd6e72f488b1e5aeb4a876ffa352d6f994019f0191ef4a8ee29f3153ab5fe,True,24,24,False,4d124f86dab056e98299eca5bf64dbe909a4c4bae6c8c328eabda5b5f8e77ab0,4d124f86dab056e98299eca5bf64dbe909a4c4bae6c8c328eabda5b5f8e77ab0,False,18.0,18.0,False,18.0,18.0,False,ESTIMATED,ESTIMATED,False,fcd6eec015ae5c4fd198ded827d60a95ad854fc842cdf5e9e573528bc2db3f4f,fcd6eec015ae5c4fd198ded827d60a95ad854fc842cdf5e9e573528bc2db3f4f,False,RECRUITING,RECRUITING,False,2021-11,2022-09,True,2021-11,2022-09,True,ESTIMATED,ESTIMATED,False,578f8d321e0bd82a8d5aa47177a92cbad9b4388bd21b88d6260efacb6eb5e938,4be3f3f9391374254e7227b205b8bd883ca91015e429de7a0ec6ea2407abb042,True,2,fda_proxy
