kind,nct_id,version,retrieved_at_utc,canonical_json_sha256,source_url
history_index,NCT00411632,,2026-07-30T00:00:27Z,5bc77f418e522e5115259863d9afd91e1a0371096dc8b37439687bdf8ccc00c2,https://clinicaltrials.gov/study/NCT00411632?tab=history
version,NCT00411632,0,2026-07-30T00:03:31Z,79647c1693500b1205d9597e4f93f2404f268fbfe84cc9f340ad46b3c59f9b86,https://clinicaltrials.gov/study/NCT00411632?tab=history
version,NCT00411632,1,2026-07-30T00:03:31Z,23c0df39d235651b08c26eba4e95e4d2d691b460c4cd47ece6a970e7e109739f,https://clinicaltrials.gov/study/NCT00411632?tab=history
version,NCT00411632,2,2026-07-30T00:03:31Z,6676613f24dfb8ec487969fa1c74f6d6ba164c6f59f2f10c14518a121b604ea6,https://clinicaltrials.gov/study/NCT00411632?tab=history
version,NCT00411632,3,2026-07-30T00:03:31Z,3b31b579e1a6972bf3f9a8fa69712e13a9f991c4d4357cf03a50f300213ad448,https://clinicaltrials.gov/study/NCT00411632?tab=history
version,NCT00411632,4,2026-07-30T00:03:31Z,e9c6b5f1d1efab47ecdc871b5e27edb64db8fcb0f17a1a09def1440c4974c43f,https://clinicaltrials.gov/study/NCT00411632?tab=history
version,NCT00411632,5,2026-07-30T00:03:31Z,5cba791d9f89f4c430b692176c982fe5de3a37ff66217ce0974d6e15ac9031cd,https://clinicaltrials.gov/study/NCT00411632?tab=history
version,NCT00411632,6,2026-07-30T00:03:31Z,fccc2900cd056399c2573d1bf3d124c746fadd22777c5c8040d66b9334f1871d,https://clinicaltrials.gov/study/NCT00411632?tab=history
version,NCT00411632,7,2026-07-30T00:03:31Z,cb08bf378123e84985f8791347cb217b8df560c1483b528b319562c5167e6532,https://clinicaltrials.gov/study/NCT00411632?tab=history
version,NCT00411632,8,2026-07-30T00:03:35Z,2fd94224260907193817215f123b3f926f03a03fcf5c10dea332885b3787976c,https://clinicaltrials.gov/study/NCT00411632?tab=history
version,NCT00411632,9,2026-07-30T00:03:35Z,ce93c8d9be32ece463458d8333217bbbb89f7f476cc6c4316a33d1ccddbc8230,https://clinicaltrials.gov/study/NCT00411632?tab=history
version,NCT00411632,10,2026-07-30T00:03:35Z,aabf13ae6a1ccd153ceab85218b422248fc8cd5c858880187b427691e0756755,https://clinicaltrials.gov/study/NCT00411632?tab=history
version,NCT00411632,11,2026-07-30T00:03:35Z,03bf4dda3879dc0e90cb3fa2a2394b9ac096eab3872d78aef15ed6933a41cf99,https://clinicaltrials.gov/study/NCT00411632?tab=history
