nct_id,historical_first_results_label_version,first_results_attempt_version,first_results_posted_version,pre_episode_posted_version,results_episode_id,first_results_date,first_results_date_source,first_results_history_version_date,first_results_attempt_pcd,first_results_attempt_pcd_type,first_results_pcd,first_results_pcd_type,pre_first_results_pcd,pre_first_results_pcd_type,current_pcd,current_pcd_type,history_versions,posted_history_versions,review_not_passed_versions,pair_id,group
NCT04153409,2,2,2,1,NCT04153409:v2-v2,2021-03-03,resultsFirstSubmitDate,2021-03-03,2020-02-15,ACTUAL,2020-02-15,ACTUAL,2020-02-15,ACTUAL,2020-02-15,ACTUAL,4,4,0,1,fda_proxy
NCT03845075,4,4,4,3,NCT03845075:v4-v4,2022-06-20,resultsFirstSubmitDate,2024-02-09,2020-10-16,ACTUAL,2020-10-16,ACTUAL,2020-10-16,ACTUAL,2020-10-16,ACTUAL,5,5,0,1,nonfda_control
NCT04714216,5,5,6,4,NCT04714216:v5-v6,2023-08-11,resultsFirstSubmitDate,2023-08-11,2022-08-11,ACTUAL,2022-08-11,ACTUAL,2022-08-11,ACTUAL,2022-08-11,ACTUAL,7,6,1,2,fda_proxy
NCT05472870,2,2,2,1,NCT05472870:v2-v2,2023-05-23,resultsFirstSubmitDate,2024-08-15,2022-12-15,ACTUAL,2022-12-15,ACTUAL,2023-09,ESTIMATED,2022-12-15,ACTUAL,3,3,0,2,nonfda_control
NCT02471144,25,25,25,24,NCT02471144:v25-v25,2021-06-24,resultsFirstSubmitDate,2021-07-22,2018-12-13,ACTUAL,2018-12-13,ACTUAL,2018-12-13,ACTUAL,2018-12-13,ACTUAL,30,30,0,3,fda_proxy
NCT03261167,36,36,36,35,NCT03261167:v36-v36,2019-02-27,resultsFirstSubmitDate,2019-09-24,2018-03-20,ACTUAL,2018-03-20,ACTUAL,2018-03-20,ACTUAL,2018-03-20,ACTUAL,39,39,0,3,nonfda_control
NCT03890666,30,30,30,29,NCT03890666:v30-v30,2022-09-29,resultsFirstSubmitDate,2022-09-29,2021-10-04,ACTUAL,2021-10-04,ACTUAL,2021-10-04,ACTUAL,2021-10-04,ACTUAL,33,33,0,4,fda_proxy
NCT05257148,2,2,2,1,NCT05257148:v2-v2,2022-12-23,resultsFirstSubmitDate,2024-05-21,2021-12-22,ACTUAL,2021-12-22,ACTUAL,2021-12-21,ACTUAL,2021-12-22,ACTUAL,3,3,0,4,nonfda_control
NCT04373460,28,28,29,27,NCT04373460:v28-v29,2022-12-21,resultsFirstSubmitDate,2022-12-21,2022-01-14,ACTUAL,2022-01-14,ACTUAL,2022-01-14,ACTUAL,2022-01-14,ACTUAL,31,30,1,5,fda_proxy
NCT04556981,10,10,10,9,NCT04556981:v10-v10,2024-03-15,resultsFirstSubmitDate,2025-06-27,2022-08-12,ACTUAL,2022-08-12,ACTUAL,2022-08-12,ACTUAL,2022-08-12,ACTUAL,11,11,0,5,nonfda_control
NCT04181723,21,21,24,20,NCT04181723:v21-v24,2023-04-02,resultsFirstSubmitDate,2023-04-02,2021-10-28,ACTUAL,2021-10-28,ACTUAL,2021-10-28,ACTUAL,2021-10-28,ACTUAL,25,22,3,6,fda_proxy
NCT03486457,31,31,31,30,NCT03486457:v31-v31,2022-03-08,resultsFirstSubmitDate,2023-06-03,2021-04-28,ACTUAL,2021-04-28,ACTUAL,2021-04-28,ACTUAL,2021-04-28,ACTUAL,32,32,0,6,nonfda_control
NCT04598295,5,5,6,4,NCT04598295:v5-v6,2025-06-09,resultsFirstSubmitDate,2025-06-09,2022-10-17,ACTUAL,2022-10-17,ACTUAL,2022-10-17,ACTUAL,2022-10-17,ACTUAL,7,6,1,7,fda_proxy
NCT02970877,8,8,8,7,NCT02970877:v8-v8,2022-12-12,resultsFirstSubmitDate,2025-04-04,2022-06-30,ACTUAL,2022-06-30,ACTUAL,2022-06-30,ACTUAL,2022-06-30,ACTUAL,9,9,0,7,nonfda_control
NCT02264574,9,9,9,8,NCT02264574:v9-v9,2019-03-25,resultsFirstSubmitDate,2019-03-25,2018-03-26,ACTUAL,2018-03-26,ACTUAL,2018-03-26,ACTUAL,2018-03-26,ACTUAL,13,13,0,8,fda_proxy
NCT03837938,1,1,1,0,NCT03837938:v1-v1,2022-10-10,resultsFirstSubmitDate,2023-10-30,2018-03-06,ACTUAL,2018-03-06,ACTUAL,2018-03-06,ACTUAL,2018-03-06,ACTUAL,3,3,0,8,nonfda_control
NCT04405037,7,7,9,6,NCT04405037:v7-v9,2025-07-18,resultsFirstSubmitDate,2025-07-18,2024-04-02,ACTUAL,2024-04-02,ACTUAL,2024-08,ESTIMATED,2024-04-02,ACTUAL,10,8,2,9,fda_proxy
NCT03689114,4,4,4,3,NCT03689114:v4-v4,2025-03-24,resultsFirstSubmitDate,2025-07-07,2024-06-30,ACTUAL,2024-06-30,ACTUAL,2024-06-30,ESTIMATED,2024-06-30,ACTUAL,5,5,0,9,nonfda_control
NCT03747497,4,4,4,3,NCT03747497:v4-v4,2021-04-06,resultsFirstSubmitDate,2021-04-06,2019-03-26,ACTUAL,2019-03-26,ACTUAL,2019-03-26,ACTUAL,2019-03-26,ACTUAL,6,6,0,10,fda_proxy
NCT03802617,3,3,3,2,NCT03802617:v3-v3,2025-06-09,resultsFirstSubmitDate,2025-11-20,2019-10-22,ACTUAL,2019-10-22,ACTUAL,2019-10-22,ACTUAL,2019-10-22,ACTUAL,4,4,0,10,nonfda_control
NCT02297139,34,34,34,33,NCT02297139:v34-v34,2023-04-13,resultsFirstSubmitDate,2023-04-13,2022-05-15,ACTUAL,2022-05-15,ACTUAL,2022-05-15,ACTUAL,2022-05-15,ACTUAL,35,35,0,11,fda_proxy
NCT03900715,12,12,12,11,NCT03900715:v12-v12,2024-02-27,resultsFirstSubmitDate,2024-10-15,2022-07-01,ACTUAL,2022-07-01,ACTUAL,2022-07-01,ACTUAL,2022-07-01,ACTUAL,13,13,0,11,nonfda_control
